Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,88,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,136363,22727,88.0,0.0,88,88,88,88.0,0.0,88,88,0,0.0,0.0,0,0,0,0,0,0,40,0,22727.2727272727,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,14770,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,812,135,14770.0,0.0,14770,14770,14770,14770.0,0.0,14770,14770,0,0.0,0.0,0,0,0,0,0,0,40,0,135.4096140826,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,64209,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5107743,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2,0,1702581.0,2876703.98837784,5023961,34,5107743,2553871.5,3493234.07117538,5023961,83782,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5873435684,0.1957811895,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,3,12,1,0,8192,26883,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
17359,1,2,0,611,0,605,6,305.5,423.5569619307,0,0,0.0,0.0,611000000,2000000,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,6,605,405.3333333333,345.8328112446,119600.333333333,0,1,0,0,1,0,0,0,0,608.0,305.5,0.0,40,0,0,0,0,0,2,611,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5331196,5,1,123,46,46,0,24.6,23.2765976895,46,46,46.0,0.0,31,1,1066239.2,2348590.58959181,5267425,35,5331196,1332799.0,2623130.00344703,5267425,35,0,0.0,0.0,0,0,1,0,0,0,160,32,0.9378758537,0.1875751707,0,46,30.7142857143,21.6849739506,470.2380952381,0,1,0,0,1,0,0,0,0,35.8333333333,24.6,46.0,160,0,0,0,0,0,5,123,1,46,354,365,2,32,36791.0,0.0,36791,36791,5267425.0,0.0,5267425,5267425,BENIGN
49510,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,625,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50013,848273,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,14,2,848273.0,0.0,848273,848273,848273,848273.0,0.0,848273,848273,0,0.0,0.0,0,0,0,0,0,0,40,0,2.3577315322,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,11256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,268399,6,6,356,3782,212,0,59.3333333333,89.2248097037,1460,0,630.3333333333,677.217148828,15417,44,24399.9090909091,39135.2170134638,85580,49,268399,53679.8,48283.046245033,93413,97,175475,35095.0,46812.0852398181,87456,49,0,0,0,0,132,132,22.3547777749,22.3547777749,0,1460,318.3076923077,533.9168762731,285067.230769231,0,0,0,1,0,0,0,0,1,344.8333333333,59.3333333333,630.3333333333,132,0,0,0,0,0,6,356,6,3782,8192,60,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,259758,6,6,352,3782,208,0,58.6666666667,87.8604954838,1460,0,630.3333333333,677.217148828,15914,46,23614.3636363636,39178.8871211849,85075,47,259758,51951.6,46507.1832440968,87604,112,174904,34980.8,46455.0206027293,87091,47,0,0,0,0,132,132,23.0984223778,23.0984223778,0,1460,318.0,533.9843942788,285139.333333333,0,0,0,1,0,0,0,0,1,344.5,58.6666666667,630.3333333333,132,0,0,0,0,0,6,352,6,3782,8192,60,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,264033,6,6,356,3782,212,0,59.3333333333,89.2248097037,1460,0,630.3333333333,677.217148828,15672,45,24003.0,39339.0142911588,85624,3,264033,52806.6,47297.6058516708,88473,139,176131,35226.2,46709.3074525838,87529,48,0,0,0,0,132,132,22.7244321733,22.7244321733,0,1460,318.3076923077,533.9168762731,285067.230769231,0,0,0,1,0,0,0,0,1,344.8333333333,59.3333333333,630.3333333333,132,0,0,0,0,0,6,356,6,3782,8192,60,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,680937,2,2,107,315,56,51,53.5,3.5355339059,204,111,157.5,65.7609306503,619,5,226979.0,292896.144523959,562648,23327,657610,657610.0,0.0,657610,657610,585975,585975.0,0.0,585975,585975,0,0,0,0,52,40,2.9371292792,2.9371292792,51,204,95.6,65.4087150157,4278.3,0,0,0,0,0,0,0,0,1,119.5,53.5,157.5,52,0,0,0,0,0,2,107,2,315,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,72408,5,2,397,526,379,0,79.4,167.501641783,526,0,263.0,371.9381669041,12747,96,12068.0,18344.3204398528,36845,10,72408,18102.0,20397.0709498529,36869,370,37225,37225.0,0.0,37225,37225,0,0,0,0,124,52,69.0531432991,27.6212573196,0,526,115.375,211.7727471337,44847.6964285714,0,0,0,1,0,0,0,0,0,131.8571428571,79.4,263.0,124,0,0,0,0,0,5,397,2,526,65535,2048,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,117470669,20,24,1035,19930,343,0,51.75,87.3979856446,1430,0,830.4166666667,666.9387506372,178,0,2731876.02325581,12470685.4206342,58922998,1,117470669,6182666.78947369,18456149.4594278,58922998,34,117376883,5103342.73913044,16879227.587134,59008789,1,0,0,0,0,412,492,0.170255266,0.2043063192,0,1430,465.8888888889,625.4471572121,391184.146464646,0,0,0,1,0,0,0,0,1,476.4772727273,51.75,830.4166666667,412,0,0,0,0,0,20,1035,24,19930,8192,360,19,20,155043.0,98002.1714453307,224341,85745,58533545.0,550769.714506889,58922998,58144092,BENIGN
46186,4333,6,5,452,30,316,0,75.3333333333,120.1243799845,6,6,6.0,0.0,111239,2538,433.3,1016.1921351573,3174,1,4333,866.6,1400.458960484,3222,1,1100,275.0,544.6680946534,1092,1,1,0,0,0,192,100,1384.7219016848,1153.9349180706,0,316,66.5,118.0019260243,13924.4545454545,0,1,0,0,1,0,0,0,0,72.5454545455,75.3333333333,6.0,192,0,0,0,0,0,6,452,5,30,340,0,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31077,1,1,56,84,56,56,56.0,0.0,84,84,84.0,0.0,4504,64,31077.0,0.0,31077,31077,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.1781381729,32.1781381729,56,84,65.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,98.0,56.0,84.0,20,0,0,0,0,0,1,56,1,84,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,14387456,8,8,1244,6584,577,0,155.5,245.7629519912,1844,0,823.0,820.6304196862,544,1,959163.733333334,3679148.12347702,14258399,19,129057,18436.7142857143,16557.3895659339,32673,92,14357383,2051054.71428571,5382970.07442269,14258431,51,0,0,0,0,172,172,0.5560399281,0.5560399281,0,1844,460.4705882353,668.2227470731,446521.639705882,0,0,0,1,0,0,0,0,1,489.25,155.5,823.0,172,0,0,0,0,0,8,1244,8,6584,8192,114,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,678342,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,17,2,678342.0,0.0,678342,678342,678342,678342.0,0.0,678342,678342,0,0.0,0.0,0,0,0,0,0,0,40,0,2.9483652789,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5164214,6,4,611,164,517,0,101.8333333333,204.305082332,152,0,41.0,74.0540343263,150,1,573801.555555556,1679175.5794177,5051258,4,5164214,1032842.8,2281645.97245951,5114324,4,89510,29836.6666666667,31751.6903854477,63533,475,0,0,0,0,132,92,1.1618418602,0.7745612401,0,517,70.4545454545,154.7568180316,23949.6727272727,0,0,0,1,0,0,0,0,0,77.5,101.8333333333,41.0,132,0,0,0,0,0,6,611,4,164,8192,946,5,20,112952.0,0.0,112952,112952,5051258.0,0.0,5051258,5051258,BENIGN
443,116046771,25,22,14802,5644,5472,0,592.08,1520.3326642548,2836,0,256.5454545455,684.2090830032,176,0,2522755.89130435,4313328.70738529,10023814,1,116046771,4835282.125,5008296.17703397,10059969,28,110669029,5269953.76190476,5135116.35218872,10062707,1,0,0,0,0,808,712,0.2154303802,0.1895787346,0,5472,425.9583333333,1192.2410858285,1421438.80673759,0,0,0,1,0,0,0,0,0,435.0212765957,592.08,256.5454545455,808,0,0,0,0,0,25,14802,22,5644,29200,584,8,32,52876.5833333333,50888.9263547373,214271,36155,9617685.33333333,1346795.32995116,10023814,5341316,BENIGN
51425,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,946,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,116839180,20,15,1424,900,577,0,71.2,165.0998422008,359,0,60.0,116.0215497225,19,0,3436446.47058824,4685153.60602544,10124281,62,116839180,6149430.52631579,4936718.09035641,10271979,117,114284742,8163195.85714286,4123620.98261605,10273898,147849,0,0,0,0,420,312,0.1711754567,0.1283815925,0,577,64.5555555556,142.600028941,20334.7682539683,0,0,0,1,0,0,0,0,0,66.4,71.2,60.0,420,0,0,0,0,0,20,1424,15,900,29200,512,19,20,303752.727272727,504959.691791353,1826165,147406,10085701.8181818,23332.9828689697,10124281,10025773,BENIGN
52060,319,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,6269,319.0,0.0,319,319,319,319.0,0.0,319,319,0,0.0,0.0,0,0,0,0,0,0,64,0,6269.592476489,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,0,0,170,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,69016172,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2,0,23005390.6666667,39817635.6599608,68982836,16547,68999625,68999625.0,0.0,68999625,68999625,68999383,68999383.0,0.0,68999383,68999383,0,0,0,0,40,40,0.0289787153,0.0289787153,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,2,96,2,96,-1,-1,1,20,16789.0,0.0,16789,16789,68982836.0,0.0,68982836,68982836,BENIGN
53,48707,2,2,88,224,44,44,44.0,0.0,112,112,112.0,0.0,6405,82,16235.6666666667,28109.7414490659,48694,3,3,3.0,0.0,3,3,10,10.0,0.0,10,10,0,0,0,0,40,40,41.0618596916,41.0618596916,44,112,71.2,37.2451339104,1387.2,0,0,0,0,0,0,0,0,1,89.0,44.0,112.0,40,0,0,0,0,0,2,88,2,224,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,36837526,2,1,12,0,6,6,6.0,0.0,0,0,0.0,0.0,0,0,18418763.0,26015521.968452,36814515,23011,36837526,36837526.0,0.0,36837526,36837526,0,0.0,0.0,0,0,0,0,0,0,40,32,0.0542924625,0.0271462313,0,6,4.5,3.0,9.0,0,0,0,0,1,0,0,0,0,6.0,6.0,0.0,40,0,0,0,0,0,2,12,1,0,256,1013,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51348,3,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,12333333,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.666666667,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,2,37,0,0,62,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,104715208,2,2,117,175,62,55,58.5,4.9497474683,97,78,87.5,13.4350288425,2,0,34905069.3333333,60416066.7009493,104667529,784,104668313,104668313.0,0.0,104668313,104668313,104714424,104714424.0,0.0,104714424,104714424,0,0,0,0,52,40,0.0190994225,0.0190994225,55,97,70.8,16.9026625122,285.7,0,0,0,0,0,0,0,0,1,88.5,58.5,87.5,52,0,0,0,0,0,2,117,2,175,-1,-1,1,20,784.0,0.0,784,784,104667529.0,0.0,104667529,104667529,BENIGN
443,119491848,142,176,4059,231092,484,0,28.5845070423,101.7643114133,2925,0,1313.0227272727,718.9214855168,1967,2,376945.892744479,1845774.21861877,10028209,0,119491848,847459.914893617,2731554.47635005,10144009,1,115700827,661147.582857143,2465709.19179594,10148849,1,0,0,0,0,4552,5640,1.1883655862,1.4729038252,0,2925,737.1504702194,835.7424537414,698465.448985627,0,0,0,1,0,0,0,0,1,739.4685534591,28.5845070423,1313.0227272727,4552,0,0,0,0,0,142,4059,176,231092,29200,8408,12,32,493704.818181818,1250736.066345,4264813,115605,10024599.0909091,6599.2271434549,10028209,10009973,BENIGN
443,116023048,21,18,1381,2861,517,0,65.7619047619,152.1939239135,1394,0,158.9444444444,435.5281408106,36,0,3053238.10526316,4556715.18288338,10025288,21,116023048,5801152.4,4961645.09445423,10111919,208,111617881,6565757.70588235,4944142.33039567,10116191,345,0,0,0,0,680,584,0.1809985202,0.1551415888,0,1394,106.05,311.4726764985,97015.2282051282,0,0,0,1,0,0,0,0,0,108.7692307692,65.7619047619,158.9444444444,680,0,0,0,0,0,21,1381,18,2861,29200,1006,5,32,129781.181818182,140900.370787886,554595,86631,10016915.2727273,19877.0153900977,10025288,9959931,BENIGN
80,48493,5,3,437,858,437,0,87.4,195.4323412335,858,0,286.0,495.3665309647,26704,164,6927.5714285714,11562.7101185541,23930,38,48493,12123.25,13879.3310927917,24456,62,24532,12266.0,16656.6073376303,24044,488,0,0,0,0,168,104,103.1076650238,61.8645990143,0,858,143.8888888889,304.3018421093,92599.6111111111,0,0,0,1,0,0,0,0,0,161.875,87.4,286.0,168,0,0,0,0,0,5,437,3,858,29200,31,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30810,1,1,50,133,50,50,50.0,0.0,133,133,133.0,0.0,5939,64,30810.0,0.0,30810,30810,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.4569944823,32.4569944823,50,133,77.6666666667,47.9200723427,2296.3333333333,0,0,0,0,0,0,0,0,1,116.5,50.0,133.0,32,0,0,0,0,0,1,50,1,133,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30739,1,1,53,69,53,53,53.0,0.0,69,69,69.0,0.0,3968,65,30739.0,0.0,30739,30739,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.5319626533,32.5319626533,53,69,58.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,87.5,53.0,69.0,20,0,0,0,0,0,1,53,1,69,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,191,2,2,80,272,40,40,40.0,0.0,136,136,136.0,0.0,1842931,20942,63.6666666667,105.0777489925,185,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,10471.2041884817,10471.2041884817,40,136,78.4,52.5813655205,2764.8,0,0,0,0,0,0,0,0,1,98.0,40.0,136.0,64,0,0,0,0,0,2,80,2,272,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,50259,1,1,52,116,52,52,52.0,0.0,116,116,116.0,0.0,3342,39,50259.0,0.0,50259,50259,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19.8969338825,19.8969338825,52,116,73.3333333333,36.9504172281,1365.3333333333,0,0,0,0,0,0,0,0,1,110.0,52.0,116.0,20,0,0,0,0,0,1,52,1,116,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1192841,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,1192841.0,0.0,1192841,1192841,1192841,1192841.0,0.0,1192841,1192841,0,0.0,0.0,0,0,0,0,0,0,64,0,1.6766693968,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,72228112,23,21,8092,3800,691,0,351.8260869565,339.7617684327,317,0,180.9523809524,159.407175557,164,0,1679723.53488372,3686556.52827515,10002735,4,62376781,2835308.22727273,4480912.14892023,10030760,506,72199897,3609994.85,4818560.99842492,10030985,51,0,0,0,0,484,504,0.3184355698,0.2907455202,0,691,264.2666666667,279.6014533712,78176.9727272727,0,0,0,1,0,0,0,0,0,270.2727272727,351.8260869565,180.9523809524,484,0,0,0,0,0,23,8092,21,3800,8192,101,21,20,443306.5,1016807.93834524,2518857,28024,9952823.66666667,121794.400300944,10002735,9704212,BENIGN
443,90131082,12,16,714,14549,383,0,59.5,117.1335678927,1460,0,909.3125,652.8710662655,169,0,3338188.22222222,12007543.7852201,45000628,1,90116105,8192373.18181818,18200794.0941471,45009892,233,90115288,6007685.86666667,15836018.6033465,45015803,9,0,0,0,0,252,356,0.1331394202,0.1775192269,0,1460,526.3103448276,648.7220461056,420840.293103448,0,0,0,1,0,0,0,0,1,545.1071428571,59.5,909.3125,252,0,0,0,0,0,12,714,16,14549,8192,31,11,20,60380.0,63929.5240870758,105585,15175,44997672.5,4179.7081835937,45000628,44994717,BENIGN
53,31106,1,1,58,186,58,58,58.0,0.0,186,186,186.0,0.0,7844,64,31106.0,0.0,31106,31106,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.1481386228,32.1481386228,58,186,100.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,151.0,58.0,186.0,32,0,0,0,0,0,1,58,1,186,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,43999469,2,2,112,230,59,53,56.0,4.2426406871,124,106,115.0,12.7279220614,7,0,14666489.6666667,25319882.8361486,43903372,47411,43952058,43952058.0,0.0,43952058,43952058,43950783,43950783.0,0.0,43950783,43950783,0,0,0,0,40,52,0.045455094,0.045455094,53,124,79.0,33.5633728937,1126.5,0,0,0,0,0,0,0,0,1,98.75,56.0,115.0,40,0,0,0,0,0,2,112,2,230,-1,-1,1,20,48686.0,0.0,48686,48686,43903372.0,0.0,43903372,43903372,BENIGN
62718,2,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,6000000,1000000,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,40,0,1000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,29,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
