Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,798,1,1,45,201,45,45,45.0,0.0,201,201,201.0,0.0,308270,2506,798.0,0.0,798,798,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1253.1328320802,1253.1328320802,45,201,97.0,90.0666419936,8112.0,0,0,0,0,0,0,0,0,1,145.5,45.0,201.0,32,0,0,0,0,0,1,45,1,201,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,1719211,10,11,2835,5164,2277,0,283.5,709.1398937367,1460,2,469.4545454545,650.4454417761,4652,12,85960.55,258376.675836385,1138715,1,1692936,188104.0,370347.592594444,1138715,1,1695251,169525.1,366136.654017914,1162937,1,0,0,0,0,220,224,5.8166216945,6.3982838639,0,2277,363.5909090909,657.423880011,432206.158008658,0,0,0,1,0,0,0,0,1,380.9047619048,283.5,469.4545454545,220,0,0,0,0,0,10,2835,11,5164,29200,65535,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,71384,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,42,35692.0,11094.5053968169,43537,27847,71384,35692.0,11094.5053968169,43537,27847,0,0.0,0.0,0,0,0,0,0,0,96,0,42.026224364,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,3,0,0,0,355,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,61136400,14,13,811,3781,437,0,57.9285714286,122.6530217168,1492,0,290.8461538462,563.5197195831,75,0,2351400.0,4282291.40696126,10073728,73,61136400,4702800.0,5191221.61602872,10100583,209,61051533,5087627.75,5239864.74900683,10158575,222,0,0,0,0,292,344,0.2289961463,0.2126392787,0,1492,164.0,403.6777225755,162955.703703704,0,0,0,1,0,0,0,0,0,170.0740740741,57.9285714286,290.8461538462,292,0,0,0,0,0,14,811,13,3781,8192,66,13,20,118382.666666667,78310.6832779964,278093,84627,10017320.1666667,28683.6172852496,10073728,9999565,BENIGN,
443,394669,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,30,5,394669.0,0.0,394669,394669,394669,394669.0,0.0,394669,394669,0,0.0,0.0,0,0,0,0,0,0,40,0,5.0675376075,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
1578,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,368,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
1567,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000,666666,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,368,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
80,117767578,24,19,2622,4776,437,0,109.25,193.2964045191,796,0,251.3684210526,380.143278621,62,0,2803989.95238095,4470729.42093204,10024413,43,117743891,5119299.60869565,5007073.81432651,10047917,1472,117743825,6541323.61111111,4764129.62859101,10049137,604,0,0,0,0,776,616,0.2037912336,0.1613347266,0,796,168.1363636364,293.4809998136,86131.0972515856,0,0,0,1,0,0,0,0,0,172.0465116279,109.25,251.3684210526,776,0,0,0,0,0,24,2622,19,4776,29200,296,6,32,64872.3333333333,103841.86131748,363531,23493,9747118.58333333,932062.325259369,10024413,6788002,BENIGN,
53,72631,1,1,45,125,45,45,45.0,0.0,125,125,125.0,0.0,2340,27,72631.0,0.0,72631,72631,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13.7682256888,13.7682256888,45,125,71.6666666667,46.1880215352,2133.3333333333,0,0,0,0,0,0,0,0,1,107.5,45.0,125.0,20,0,0,0,0,0,1,45,1,125,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,60790,1,1,46,94,46,46,46.0,0.0,94,94,94.0,0.0,2303,32,60790.0,0.0,60790,60790,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.4500740253,16.4500740253,46,94,62.0,27.7128129211,768.0,0,0,0,0,0,0,0,0,1,93.0,46.0,94.0,32,0,0,0,0,0,1,46,1,94,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
80,60895253,10,10,355,379,307,0,35.5,95.4140101522,367,0,37.9,115.6608548012,12,0,3205013.31578947,4756105.34341935,10048961,151,60500393,6722265.88888889,5007577.01459529,10099577,238,60844332,6760481.33333333,4971950.54410151,10099807,1725,0,0,0,0,212,284,0.1642164127,0.1642164127,0,367,34.9523809524,100.9066282216,10182.1476190476,0,0,0,1,0,0,0,0,1,36.7,35.5,37.9,212,0,0,0,0,0,10,355,10,379,8192,110,9,20,65110.0,35226.7695652042,137016,50581,10018288.8333333,24096.7525066485,10048961,9999737,BENIGN,
443,78534,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,152,25,78534.0,0.0,78534,78534,78534,78534.0,0.0,78534,78534,0,0.0,0.0,0,0,0,0,0,0,40,0,25.4666768533,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,259901,6,6,352,3782,208,0,58.6666666667,87.8604954838,1460,0,630.3333333333,677.217148828,15906,46,23627.3636363636,39211.8224730061,85195,6,259901,51980.2,46502.3872311949,87264,138,174715,34943.0,46600.3044357008,87175,48,0,0,0,0,132,132,23.0857134063,23.0857134063,0,1460,318.0,533.9843942788,285139.333333333,0,0,0,1,0,0,0,0,1,344.5,58.6666666667,630.3333333333,132,0,0,0,0,0,6,352,6,3782,8192,60,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,76298834,2,2,100,306,54,46,50.0,5.6568542495,236,70,153.0,117.379725677,5,0,25432944.6666667,43984787.8305069,76222202,30245,76268589,76268589.0,0.0,76268589,76268589,76252447,76252447.0,0.0,76252447,76252447,0,0,0,0,52,40,0.0262127204,0.0262127204,46,236,90.4,81.9804854828,6720.8,0,0,0,0,0,0,0,0,1,113.0,50.0,153.0,52,0,0,0,0,0,2,100,2,306,-1,-1,1,20,46387.0,0.0,46387,46387,76222202.0,0.0,76222202,76222202,BENIGN,
53,434,1,1,62,112,62,62,62.0,0.0,112,112,112.0,0.0,400921,4608,434.0,0.0,434,434,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,2304.1474654378,2304.1474654378,62,112,78.6666666667,28.8675134595,833.3333333333,0,0,0,0,0,0,0,0,1,118.0,62.0,112.0,32,0,0,0,0,0,1,62,1,112,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,548372,14,14,900,4921,279,0,64.2857142857,87.6737207987,1460,0,351.5,534.4139493228,10615,51,20310.0740740741,33085.6306945453,99709,0,548372,42182.4615384615,37736.9654971872,99816,3,430991,33153.1538461538,61379.4937280171,159659,0,0,0,0,0,292,292,25.5301145937,25.5301145937,0,1460,200.724137931,397.8458869383,158281.349753695,0,0,0,1,0,0,0,0,1,207.8928571429,64.2857142857,351.5,292,0,0,0,0,0,14,900,14,4921,8192,127,13,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,335,3,0,58,0,46,6,19.3333333333,23.0940107676,0,0,0.0,0.0,173134,8955,167.5,13.4350288425,177,158,335,167.5,13.4350288425,177,158,0,0.0,0.0,0,0,0,0,0,0,60,0,8955.223880597,0.0,6,46,16.0,20.0,400.0,0,0,0,0,1,0,0,0,0,21.3333333333,19.3333333333,0.0,60,0,0,0,0,0,3,58,0,0,254,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,10728263,3,1,12,2,6,0,4.0,3.4641016151,2,2,2.0,0.0,1,0,3576087.66666667,6166127.93772269,10696095,102,10728263,5364131.5,7540535.09577832,10696095,32168,0,0.0,0.0,0,0,0,0,0,0,72,24,0.2796352028,0.0932117343,0,6,2.8,3.0331501776,9.2,0,0,0,1,0,0,0,0,0,3.5,4.0,2.0,72,0,0,0,0,0,3,12,1,2,8192,26580,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,5162274,7,7,360,3671,210,0,51.4285714286,83.2723586449,1674,0,524.4285714286,722.8212912246,780,2,397098.0,1379405.70169711,4987456,3,5162128,860354.666666667,2022087.56151693,4987530,466,5111577,851929.5,2033965.74316381,5003397,3,0,0,0,0,152,152,1.355991565,1.355991565,0,1674,268.7333333333,536.9794444944,288346.923809524,0,0,0,1,0,0,0,0,1,287.9285714286,51.4285714286,524.4285714286,152,0,0,0,0,0,7,360,7,3671,8192,55,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,5083641,8,6,390,3716,209,0,48.75,77.1357800987,1460,0,619.3333333333,679.9090135207,807,2,391049.307692308,1324731.80980506,4796656,4,5083641,726234.428571429,1796470.74679744,4796656,4,72699,14539.8,20340.3137193112,46744,48,0,0,0,0,172,132,1.5736752458,1.1802564343,0,1460,273.7333333333,503.5259202672,253538.352380952,0,0,0,1,0,0,0,0,0,293.2857142857,48.75,619.3333333333,172,0,0,0,0,0,8,390,6,3716,8192,119,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,0,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,0.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,1,6,1,6,253,60,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,8280304,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1,0,8280304.0,0.0,8280304,8280304,8280304,8280304.0,0.0,8280304,8280304,0,0.0,0.0,0,0,0,0,0,0,40,0,0.2415370257,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,63802,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,50512,1,1,55,107,55,55,55.0,0.0,107,107,107.0,0.0,3207,39,50512.0,0.0,50512,50512,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19.7972758948,19.7972758948,55,107,72.3333333333,30.0222139979,901.3333333333,0,0,0,0,0,0,0,0,1,108.5,55.0,107.0,20,0,0,0,0,0,1,55,1,107,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,784149,6,8,959,4094,517,0,159.8333333333,232.1597869285,1448,0,511.75,673.8941735487,6443,17,60319.1538461539,113846.503789713,260499,2,522629,104525.8,142014.248585133,260640,106,524690,74955.7142857143,127492.684589763,262313,2,0,0,0,0,200,264,7.6516070288,10.202142705,0,1448,336.8666666667,534.1630123937,285330.123809524,0,0,0,1,0,0,0,0,1,360.9285714286,159.8333333333,511.75,200,0,0,0,0,0,6,959,8,4094,29200,243,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,112939,6,5,112,3757,112,0,18.6666666667,45.723808532,1418,0,751.4,715.3109813221,34257,97,11293.9,22013.7419629447,53012,3,112939,22587.8,28189.3933634621,53672,3,54133,13533.25,26540.5430285441,53343,49,0,0,0,0,204,168,53.1260237828,44.2716864856,0,1418,322.4166666667,574.8361756082,330436.628787879,0,0,0,1,0,0,0,0,0,351.7272727273,18.6666666667,751.4,204,0,0,0,0,0,6,112,5,3757,65535,166,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,119225250,43,58,2507,39038,434,0,58.3023255814,87.9766026482,1771,0,673.0689655172,671.3932322814,348,0,1192252.5,8236606.91563859,58801358,1,119225250,2838696.42857143,12619500.1900986,58801358,18,118996320,2087654.73684211,10890790.3556426,59037032,1,0,0,0,0,872,1172,0.3606618564,0.4864741319,0,1771,407.3039215686,593.0195393441,351672.174043875,0,0,0,1,0,0,0,0,1,411.3366336634,58.3023255814,673.0689655172,872,0,0,0,0,0,43,2507,58,39038,8192,402,42,20,939750.0,1001127.43765816,1647654,231846,58555965.0,347038.108711421,58801358,58310572,BENIGN,
443,90107596,3,3,18,18,6,6,6.0,0.0,6,6,6.0,0.0,0,0,18021519.2,24629624.9445268,45003558,34415,90072919,45036459.5,2140.4122266517,45037973,45034946,90073181,45036590.5,2303.0467863246,45038219,45034962,0,0,0,0,60,60,0.0332935305,0.0332935305,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,7.0,6.0,6.0,60,0,0,0,0,0,3,18,3,18,251,10240,2,20,34538.0,173.9482681719,34661,34415,45001921.5,2314.3604948236,45003558,45000285,BENIGN,
443,55010,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,72,18336.6666666667,18811.8836466031,39283,2881,55010,27505.0,16656.6073376303,39283,15727,0,0.0,0.0,0,0,0,0,0,0,96,32,54.5355389929,18.1785129976,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,3,0,1,0,297,486,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,1453,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,1376,1453.0,0.0,1453,1453,1453,1453.0,0.0,1453,1453,0,0.0,0.0,0,0,0,0,0,0,64,0,1376.4624913971,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,0,0,536,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,11775,3,0,83,0,46,6,27.6666666667,20.2072594216,0,0,0.0,0.0,7048,254,5887.5,8321.9397077845,11772,3,11775,5887.5,8321.9397077845,11772,3,0,0.0,0.0,0,0,1,0,0,0,60,0,254.7770700637,0.0,6,46,32.25,18.8745860882,356.25,0,1,0,0,1,0,0,0,0,43.0,27.6666666667,0.0,60,0,0,0,0,0,3,83,0,0,256,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
80,72509,6,8,1207,13957,1183,0,201.1666666667,481.0041233365,2920,0,1744.625,957.2429065513,209132,193,5577.6153846154,13244.7649503396,37471,15,72494,14498.8,19351.8489607582,37823,206,39268,5609.7142857143,14353.462900572,38160,49,0,0,0,0,132,168,82.7483484809,110.3311313078,0,2920,1010.9333333333,1096.5455150912,1202412.06666667,0,0,0,1,0,0,0,0,1,1083.1428571429,201.1666666667,1744.625,132,0,0,0,0,0,6,1207,8,13957,8192,11,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,90063352,3,3,18,0,6,6,6.0,0.0,0,0,0.0,0.0,0,0,18012670.4,24637038.7606377,45007505,15059,90047003,45023501.5,1325.8252147248,45024439,45022564,90048293,45024146.5,18266.6894783921,45037063,45011230,0,0,0,0,60,96,0.0333098861,0.0333098861,0,6,3.4285714286,3.2071349029,10.2857142857,0,0,0,0,1,0,0,0,1,4.0,6.0,0.0,60,0,0,0,0,0,3,18,3,0,254,35,2,20,22308.5,10252.3412204238,29558,15059,45001193.0,8926.516005699,45007505,44994881,BENIGN,
53,209,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1550239,19138,69.6666666667,114.605119141,202,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,9569.3779904306,9569.3779904306,30,132,70.8,55.8677008655,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
123,69016312,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,11,0,4601087.46666667,14798382.9381023,57989870,16347,68999880,9857125.71428572,21235122.4003649,58006439,999086,68999965,9857137.85714286,21235055.5938233,58006302,999257,0,0,0,0,244,220,0.1159146261,0.1159146261,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,244,0,0,0,0,0,8,384,8,384,-1,-1,7,20,11010010.0,0.0,11010010,11010010,57989870.0,0.0,57989870,57989870,BENIGN,
443,5081176,8,4,380,3319,199,0,47.5,74.1927990345,1601,0,829.75,818.0107476882,727,2,461925.090909091,1469043.42938366,4890708,3,5081176,725882.285714286,1836777.70314145,4890708,3,110169,36723.0,31667.2367439914,56792,217,0,0,0,0,172,92,1.5744386733,0.7872193366,0,1601,284.5384615385,560.1665846551,313786.602564103,0,0,0,1,0,0,0,0,0,308.25,47.5,829.75,172,0,0,0,0,0,8,380,4,3319,8192,7,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,6234,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1924,320,6234.0,0.0,6234,6234,6234,6234.0,0.0,6234,6234,0,0.0,0.0,0,0,0,0,0,0,40,0,320.8213025345,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,60213,1,1,41,166,41,41,41.0,0.0,166,166,166.0,0.0,3437,33,60213.0,0.0,60213,60213,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.6077092987,16.6077092987,41,166,82.6666666667,72.1687836487,5208.3333333333,0,0,0,0,0,0,0,0,1,124.0,41.0,166.0,32,0,0,0,0,0,1,41,1,166,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
443,3425,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,583,3425.0,0.0,3425,3425,3425,3425.0,0.0,3425,3425,0,0.0,0.0,0,0,0,0,0,0,64,0,583.9416058394,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,2,0,0,0,260,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
53,110621818,3,3,159,298,54,51,53.0,1.7320508076,116,70,99.3333333333,25.4820198048,4,0,22124363.6,49024155.2674333,109820022,544,110621274,55310637.0,77121800.3432117,109843985,777289,110597855,55298927.5,77243455.9435945,109918299,679556,0,0,0,0,96,96,0.0271194241,0.0271194241,51,116,73.0,28.7112057102,824.3333333333,0,0,0,0,0,0,0,0,1,85.1666666667,53.0,99.3333333333,96,0,0,0,0,0,3,159,3,298,-1,-1,2,32,23963.0,0.0,23963,23963,109820022.0,0.0,109820022,109820022,BENIGN,
443,80147,8,7,555,5486,200,0,69.375,85.223969633,1460,0,783.7142857143,671.9974489748,75374,187,5724.7857142857,8652.2155648897,23159,3,80147,11449.5714285714,10548.9471647987,24267,3,54364,9060.6666666667,13355.2495396629,28882,48,0,0,0,0,172,152,99.8165870213,87.3395136437,0,1460,377.5625,566.7115631724,321161.995833333,0,0,0,1,0,0,0,0,0,402.7333333333,69.375,783.7142857143,172,0,0,0,0,0,8,555,7,5486,8192,946,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,
